Category,Color,Icon,Description
Pronoun,#FF6B6B,,Who is doing the action (I/you/he/she/we/they)
Verb,#4ECDC4,,What action is being done (eat/go/have/be)
Noun,#95E1D3,,The thing or object involved (book/water/home)
Time,#F38181,,When the action happens (yesterday/today/tomorrow)
Location,#AA96DA,,Where the action takes place (here/there/home)
Particle,#FCBAD3,,Grammar particles that modify meaning
Quantifier,#FFFFD2,,Numbers and classifiers (one/two)
Conjunction,#A8E6CF,,Words that connect clauses (and/but/or)
Adverb,#DDA0DD,,Words that modify verbs (very/also/already)
Connector,#87CEEB,,Formal connectors and prepositions
