Radical,Pinyin,Description,Meaning,Variants,StrokeCount
一,yī,one,one; horizontal stroke,none,1
丨,gǔn,vertical stroke,line; vertical stroke,none,1
丶,zhǔ,dot,dot,none,1
丿,piě,slash,slash; bend,none,1
乙,yǐ,second,second; twist,none,1
亅,jué,hook,hook,none,1
二,èr,two,two,none,2
亠,tóu,lid,lid; top,none,2
人,rén,person,man; person,亻,2
儿,ér,legs,legs; son,none,2
入,rù,enter,to enter,none,2
八,bā,eight,eight,none,2
冂,jiōng,down box,border,none,2
冖,mì,cover,cover; roof,none,2
冫,bīng,ice,ice,none,2
几,jī,table,table; small table,none,2
凵,qǔ,open box,container; open box,none,2
刀,dāo,knife,knife; sword,刂,2
力,lì,power,power; force,none,2
勹,bāo,wrap,to wrap,none,2
匕,bǐ,spoon,spoon; dagger,none,2
匚,fāng,right open box,box,none,2
匸,xì,hiding enclosure,to conceal,none,2
十,shí,ten,ten,none,2
卜,bǔ,divination,"to divine; fortune telling",none,2
卩,jié,seal,seal; kneeling person,none,2
厂,chǎng,cliff,cliff,none,2
厶,sī,private,"private; selfish",none,2
又,yòu,again,again; right hand,none,2
口,kǒu,mouth,mouth,none,3
囗,wéi,enclosure,"enclosure; to surround",none,3
土,tǔ,earth,"earth; soil",none,3
士,shì,scholar,"scholar; gentleman",none,3
夂,zhǐ,go,to go,none,3
夊,suī,go slowly,to go slowly,none,3
夕,xī,sunset,"sunset; evening",none,3
大,dà,big,"big; large",none,3
女,nǚ,woman,"woman; female",none,3
子,zǐ,child,"child; son",none,3
宀,mián,roof,roof,none,3
寸,cùn,inch,"inch; thumb",none,3
小,xiǎo,small,"small; tiny",none,3
尢,wāng,lame,lame,none,3
尸,shī,corpse,"corpse; body",none,3
屮,chè,sprout,sprout,none,3
山,shān,mountain,mountain,none,3
巛,chuān,river,"river; stream",川,3
工,gōng,work,"work; labor",none,3
己,jǐ,oneself,oneself,none,3
巾,jīn,turban,"turban; scarf",none,3
干,gān,dry,dry,none,3
幺,yāo,tiny,"tiny; small",none,3
广,guǎng,shelter,"shelter; wide",none,3
廴,yǐn,long stride,to stretch,none,3
廾,gǒng,two hands,hands joined,none,3
弋,yì,shoot,to shoot with a bow,none,3
弓,gōng,bow,bow (weapon),none,3
彐,jì,snout,"snout; pig's head",⺕,3
彡,shān,bristle,"bristles; hair",none,3
彳,chì,step,"step; to walk",none,3
心,xīn,heart,heart,"忄,⺗",4
戈,gē,spear,"spear; dagger-axe",none,4
户,hù,door,door,none,4
手,shǒu,hand,hand,扌,4
